2010 Asian Alone by Asian groups: full-time, year-round workers age 25-34, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Asian,Gender,Immentry,Earn
7,2,5,6
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
Native, FB<1980, FB80-89, FB90-99, FB00-current
<25K, 25-34K, 35-49K, 50-69K, 70-99K, 100K+
1853,3336,6260,6989,6684,4830,
168,237,443,887,733,483,
1481,1922,2913,3025,3126,2345,
4211,3368,4415,4695,3710,4009,
6031,3589,4523,3097,4181,2391,
2218,2749,6346,7339,4478,3129,
35,86,212,393,608,387,
992,1361,3448,2985,2594,1212,
3539,2332,4874,4081,4022,2192,
7207,3792,5355,5074,3779,1424,
1221,1696,1863,1353,1581,649,
0,10,165,0,47,0,
191,131,372,183,166,130,
343,80,277,544,216,168,
1048,319,1407,1198,941,420,
515,1576,2328,1940,1092,391,
84,0,112,121,125,72,
247,155,443,321,192,60,
222,683,1066,502,331,63,
566,892,858,786,448,259,
4451,6235,8294,7972,5052,2109,
59,183,337,446,360,25,
1771,2350,3531,2818,1400,527,
3196,4136,5053,3205,1548,762,
3441,2427,3565,2258,1277,775,
4072,5285,7678,6686,2667,1465,
153,186,256,434,230,50,
1538,1965,2287,2287,1062,374,
2992,4400,4909,3139,1731,675,
5465,3546,4181,4716,3139,1016,
1325,1321,3029,2361,2312,1734,
236,159,392,284,319,396,
1058,1325,1397,1893,1565,1149,
1415,2082,2103,1856,846,622,
1658,846,1489,1214,776,489,
1306,1615,3248,2306,1564,1100,
185,798,787,910,881,212,
1782,1496,1699,2521,1126,833,
1257,1126,2125,1584,640,307,
1364,1065,1213,742,961,274,
1406,1647,3354,4954,3368,4398,
64,126,227,295,394,733,
1129,887,1705,2201,2120,1389,
2862,3503,3837,4403,8411,11145,
7287,4143,9204,29802,33288,15351,
1045,1176,3030,4497,3163,2825,
39,63,302,486,371,318,
552,556,1256,2020,1014,711,
2249,1964,3360,3805,4157,2626,
4881,2757,6422,12242,11192,2690,
1654,1867,1833,2208,991,589,
264,355,465,898,384,347,
1166,1435,2251,2610,1807,1060,
2995,2897,3705,2529,1327,653,
2313,896,1290,626,197,166,
1625,1083,2622,1611,1381,952,
260,198,612,488,462,358,
1365,1355,1383,1917,1152,1111,
4479,2419,2997,2037,1125,652,
4799,2126,999,433,139,107,
6625,6843,7973,6273,2745,1435,
617,605,1206,722,593,301,
2482,3988,4358,2705,1307,829,
4037,3199,3323,2814,2564,1436,
5223,3082,3351,2314,2278,595,
6091,6393,7421,3577,1850,898,
594,698,947,735,259,158,
3957,2955,3665,1710,1029,883,
3307,3164,1818,1152,930,441,
5570,2446,2314,1835,860,368
*****
