2010 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education age 35-44, wgtd 2008-10 ACS, SSDAN/U-Mich
5
Occup,GEnder,Immentry,RaceEth,Educ
5,2,5,7,4
TopWC,OtherWC,Service,TopBC,OtherBC
Male,Female
Native,FB<1980,FB80-89,FB90-99,FB00-Current
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
LTHS,HSGrad,SomeColl,CollGrad
2441,1686,6397,3662,3397,262,244,
160,0,30,130,76,24,25,
73,105,104,26,79,26,15,
225,80,244,628,255,30,0,
590,216,483,456,456,73,0,
268,166,461,268,156,5,0,
196,138,556,465,103,19,53,
140,131,485,588,235,27,69,
1205,1461,3062,1938,391,0,30,
2476,1283,3996,2209,1301,308,91,
1482,864,1749,900,1157,84,0,
1402,3645,18020,42049,44794,20088,11389,
552,721,2651,5791,5666,2399,1402,
5940,2569,7156,8234,6664,2691,1526,
3240,1407,5319,4798,6564,3807,3313,
984,493,1773,2106,7844,4924,2912,
2856,7662,37766,60295,24927,5222,872,
1590,1778,6078,7790,4376,748,79,
8137,5733,13163,12734,3948,1079,143,
7913,3303,9800,8936,5455,1482,341,
3448,767,5081,4072,4075,1563,401,
5404,6951,25996,36683,9855,1469,337,
3305,1547,4376,4479,1060,252,0,
34178,8395,17154,7453,2451,247,117,
37101,6580,24664,8505,2961,200,155,
20389,4669,12272,4993,3440,404,658,
11333,14735,48257,37829,4670,583,93,
5354,4127,6967,5753,571,184,0,
55990,16282,28207,11977,1979,298,192,
61327,13980,34463,15771,4613,452,702,
38046,7426,19638,7613,4466,521,625,
8779,15789,42659,26546,2469,428,138,
4793,3993,8682,3805,592,69,0,
45261,12458,25881,9467,2378,306,80,
36231,10018,26442,10231,3124,323,134,
15822,4379,10690,4178,2588,695,262,
1085,2187,16749,42813,47174,23523,7431,
167,485,2344,6155,5719,2787,1047,
1325,1389,4120,7708,5732,2370,745,
1386,1079,3401,4554,7335,3203,1764,
874,176,860,1201,5104,2528,1789,
3828,10176,69509,103748,27558,6932,858,
1540,1882,10522,15895,3351,882,41,
6319,4502,14019,16163,3964,529,238,
7330,3294,12054,12358,6799,1095,510,
2859,814,6001,5003,4719,1274,797,
5771,8819,26009,26609,4638,500,369,
3201,2143,3969,2709,276,192,74,
22590,7820,14312,8263,1595,98,65,
31379,7368,21611,11987,4305,270,527,
14674,3624,11824,5525,3075,893,729,
1207,425,2983,2248,572,27,0,
346,230,300,413,53,32,0,
4056,1035,1559,453,146,0,27,
6108,1072,3050,988,405,89,0,
3299,371,1052,725,217,104,44,
3262,3780,9292,6441,1134,235,28,
1972,761,1419,653,18,61,0,
16189,3823,8315,2654,686,70,6,
22043,4051,11651,3686,992,338,141,
8688,1557,4925,1303,1298,281,142,
144,133,1580,3667,3121,1610,453,
0,0,86,108,47,108,0,
90,115,0,244,52,0,0,
0,0,30,34,76,29,0,
0,0,0,0,48,27,31,
346,509,2978,4381,1155,231,52,
23,0,0,146,31,36,0,
0,58,46,197,26,0,0,
60,19,91,0,0,24,0,
0,0,0,107,35,16,0,
189,744,2884,4031,747,125,36,
0,0,0,27,0,0,0,
415,38,52,45,25,0,0,
520,212,233,0,0,0,0,
172,0,275,0,0,0,0,
702,1516,7203,5756,499,77,62,
44,0,143,25,0,0,0,
541,200,344,145,21,0,0,
486,0,144,118,0,0,0,
287,133,68,126,88,0,41,
192,1049,4878,2634,312,24,23,
93,52,25,99,25,0,0,
504,94,108,22,0,0,0,
244,22,146,100,32,0,0,
211,29,180,0,84,0,0,
12,181,1479,4728,4406,1994,936,
0,0,0,200,161,0,0,
0,0,31,75,111,77,0,
35,0,0,17,24,10,0,
0,0,0,0,71,56,0,
213,838,4827,10946,3082,442,77,
0,0,0,25,0,0,0,
41,0,186,193,63,0,0,
0,0,269,366,133,0,0,
0,0,16,0,32,0,0,
546,1277,3566,4187,553,232,0,
0,0,0,43,0,0,0,
53,95,245,87,0,0,0,
286,21,138,52,0,0,0,
158,0,132,24,0,0,0,
123,136,597,370,55,13,0,
0,0,0,0,0,0,0,
22,0,0,0,0,0,0,
74,0,0,0,0,0,0,
0,0,0,0,0,0,0,
117,255,1238,1169,135,0,0,
0,0,0,0,0,0,0,
30,74,55,0,0,0,0,
167,0,56,0,0,0,29,
81,0,39,0,32,0,0,
0,22,318,460,1236,777,570,
0,0,0,199,127,125,0,
0,38,0,245,280,124,90,
0,30,108,173,278,839,341,
0,39,123,22,588,288,72,
0,0,151,820,500,204,166,
46,0,55,100,84,0,0,
80,0,137,26,172,90,0,
49,22,49,225,465,213,0,
90,0,383,0,392,174,0,
29,120,452,682,22,104,0,
0,0,0,26,22,0,0,
169,26,69,100,0,0,0,
39,147,263,100,66,0,0,
256,237,272,0,0,0,0,
190,116,615,635,48,16,21,
0,0,247,0,108,0,0,
86,64,346,28,46,41,0,
260,287,79,177,27,0,0,
