2010 Marital status for Hispanic groups, age 15+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Gender,AgeMar,Marital
6,2,6,5
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
262549,2175,11001,13895,2781281,
1342340,6155,110968,68859,1363853,
1568840,10483,192594,85267,529334,
1103505,18383,185818,58982,219498,
628883,23877,106259,28088,68682,
427522,86162,54565,17239,27536,
398212,2942,17647,27702,2278298,
1382513,12686,147232,118919,901504,
1423752,27689,232060,132456,372715,
957998,55840,220096,96610,167507,
526437,91130,145726,45305,71661,
311753,308759,87491,23569,48133,
19018,80,1089,1333,381301,
119222,545,18328,10255,188315,
160560,983,35432,12175,93226,
139806,3543,44999,12319,51178,
97019,5734,25685,7360,24496,
77429,15638,17403,5695,10846,
27599,302,2597,3172,361523,
130066,1240,24923,19607,174107,
158845,3383,56051,25430,87000,
128846,10519,58669,19670,53271,
81942,20249,46482,13964,24132,
56154,66022,30866,8295,15664,
6023,120,392,260,108644,
38927,291,6597,2036,53809,
89453,377,17650,5225,31703,
89593,774,24255,4906,23553,
58515,2031,13895,2914,11751,
86009,14788,14442,4294,8390,
9578,0,666,1065,103742,
47867,229,9291,3383,38959,
81680,1091,21225,6618,20235,
75475,3200,28035,4747,14189,
50085,7774,22411,3516,7883,
60318,70114,27429,3565,10623,
35569,598,1298,1660,501191,
231964,1069,15947,13544,348229,
275139,1826,34684,18161,128949,
207223,2949,32125,16221,49220,
105460,2976,16709,8480,14234,
55080,7743,8548,3569,4811,
55047,325,2862,5037,388454,
232681,2238,26532,24985,222530,
254054,6492,52623,34220,103424,
191157,12926,61050,30667,54612,
92176,20077,42381,18066,29913,
43200,55263,25341,9186,22931,
12172,79,572,1019,215017,
102887,621,13580,6235,117097,
158121,760,21211,9206,49268,
142050,1540,27281,7657,23305,
83426,2005,14336,5034,7104,
63547,6477,8858,3292,2963,
21772,116,1205,1565,191980,
143602,1278,18610,9860,83980,
179177,1901,34397,15395,34319,
146733,6011,40544,15157,20392,
76197,11290,28797,8370,12074,
46841,46996,21791,6289,10459,
10812,85,799,710,191603,
56274,206,7348,3427,92777,
83373,791,20297,3853,42245,
80368,1589,25003,4819,25328,
59408,2548,17145,3226,8382,
65778,11957,11953,1163,4089,
16812,168,1521,1923,173177,
66995,970,12621,5239,71657,
91419,2193,27718,7700,29714,
83960,5575,33503,6769,18828,
57242,9354,27141,3585,8661,
47822,48365,18699,2830,7555
*****
