2010 Marital Status by education, gender, and race/ethnicity, age 15+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeMar,Marital,Educ
7,2,6,5,4
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
LTHS,HSGrad,SomeColl,CollGrad
81088,237759,247283,83416,
1240,1242,728,313,
7421,24531,17072,1948,
8145,14867,8600,853,
4801985,2702163,3786935,734165,
333684,1281287,1781634,1941652,
2283,6345,3380,1585,
76947,262924,247764,106864,
32206,79387,60292,21181,
472907,1530896,1775855,1839723,
480558,2132852,2564932,3309877,
8193,16922,12691,8404,
178942,610603,542546,305334,
42443,100434,81692,48421,
285986,813079,708197,716145,
676295,3049650,3088720,3636778,
22413,55505,42223,25854,
299978,976382,784211,486467,
44990,108864,85340,59995,
268350,687468,553456,543280,
640797,2388321,2836781,3641505,
40192,96125,82225,68998,
208382,612049,660315,541530,
25265,51865,50766,46503,
132023,266939,266920,351169,
1551639,3034669,2379167,3092365,
469300,615477,352299,352572,
241558,386844,308878,310119,
25335,31826,24644,25221,
127103,167027,107916,186997,
119417,318413,477211,189398,
1845,2627,2586,374,
11512,34645,46797,5672,
16107,28263,26069,2127,
4180231,1933873,3846300,986906,
281859,1136942,2145269,2698669,
5060,11522,15512,5883,
76858,248837,404835,192900,
48135,93350,120299,42706,
241774,755852,1281057,1861313,
348852,1905280,2920683,3620769,
15015,37545,43891,21988,
142233,541130,781268,459104,
50209,121974,156174,72792,
130533,374142,485701,639447,
516798,3039471,3606482,3462079,
54850,147889,147970,81304,
212850,876128,1122770,714799,
50781,118861,134161,73002,
113133,336690,399400,523009,
554536,2869260,2819663,2759062,
139412,370484,317850,193478,
187081,737441,926817,725925,
27925,64063,61682,42007,
72840,183964,208411,349128,
1070528,3270124,1974736,1529571,
1838604,3136841,1510657,852325,
306417,707498,600692,410077,
23171,33777,22830,14024,
113885,216472,131316,230919,
18380,33866,32109,4795,
595,226,344,0,
1855,2859,2542,146,
2635,3188,3444,166,
1579126,764811,754259,72242,
72765,204771,249080,137968,
896,1430,1479,381,
13957,36034,45417,13389,
12077,25744,27074,4443,
327928,588991,505522,227606,
99458,361982,402627,266551,
2661,5691,3899,2090,
38662,115646,112770,44283,
20487,53353,42159,12438,
190787,385536,253236,106783,
146190,406293,390269,262329,
9183,14643,11825,4291,
72131,163878,142816,60518,
33065,62295,45426,13857,
193549,284082,164054,65605,
153698,283743,276210,192689,
20220,23973,16563,6969,
70374,116686,105249,48992,
32641,37130,28738,8928,
87520,96293,59633,27396,
244597,210350,147640,112971,
119890,58920,28428,17112,
72929,59050,41050,21961,
32136,17000,9866,4584,
54973,33183,14588,9582,
16655,39181,55170,9499,
745,508,660,0,
1001,3339,4846,535,
2586,5084,5731,712,
1328885,674210,977180,120433,
57544,149064,281342,195676,
1418,2333,3538,1258,
12661,37113,78382,29642,
17475,37173,61092,14819,
233896,485394,696055,381134,
76137,260670,403536,308176,
7252,12572,16349,6479,
35344,113565,195803,92282,
29897,69975,89041,28016,
158214,346393,393492,205936,
108478,315216,407574,268258,
25821,40588,46570,16979,
70597,170685,266561,127787,
45116,73885,85374,24255,
142494,263004,262634,124683,
102724,234024,240500,174621,
67807,88964,79161,35114,
76169,153788,187825,106029,
36754,44920,42891,13540,
82969,115693,99728,59451,
135657,159847,105647,76635,
451758,284056,147970,84719,
96600,106891,91049,54018,
30713,20765,13248,4376,
76864,55239,29913,21772,
5377,12056,12151,5289,
239,0,133,24,
236,299,866,270,
534,517,263,0,
344219,177554,396006,132920,
31422,58836,99894,347025,
310,285,258,425,
2406,7290,7623,8163,
1596,2128,3195,2233,
33118,80616,156662,369041,
77481,112902,161853,562052,
457,347,671,485,
5584,11342,14761,20087,
2027,3222,3533,5344,
22550,34117,50568,99134,
102437,130158,162944,401751,
1868,1657,1228,1819,
8915,13802,17421,22437,
2272,4383,4217,4667,
14905,20219,24175,35670,
95723,99998,115208,272238,
2833,2138,2324,4637,
7514,10656,13085,17067,
2335,2137,3036,3428,
5125,6425,7955,13661,
111586,91175,73925,204700,
19570,13695,7817,15709,
7152,8413,4933,10655,
4041,2259,1641,2823,
4097,3146,3300,6568,
11463,20156,29276,24392,
28,347,267,62,
149,1147,1566,122,
823,885,974,218,
303944,142771,371111,140967,
53007,94322,156113,518976,
482,631,513,979,
2935,7745,16162,14719,
1154,2829,4835,3686,
17659,44523,111087,302633,
101898,156570,206811,581633,
1927,2449,2504,4310,
11352,17361,26049,38383,
4645,5042,6069,8385,
17417,22068,34585,86578,
131547,170229,183807,379651,
9201,7717,7726,10538,
18281,23845,31913,43513,
4608,5103,6031,8542,
12428,14993,19337,37362,
134696,119916,110101,233237,
26788,18184,14563,20550,
18777,19338,24228,31823,
4819,3810,3393,5162,
10044,8449,10400,22471,
115268,86725,57462,106143,
152255,78836,37939,53382,
14378,14101,10118,13834,
4705,2702,1944,2591,
8904,6084,4941,12220,
139991,116935,72554,8301,
2235,585,269,26,
3799,5305,5386,266,
10096,4779,2597,344,
2167490,941742,842995,76627,
716129,537146,406771,183731,
3509,2308,1756,967,
41843,56394,53625,14859,
41850,29643,24446,5156,
752366,644372,469409,224841,
915949,597019,464006,303588,
6711,4648,2116,1157,
89528,100420,82889,38227,
54614,36738,27661,10088,
351347,245545,153424,92452,
697206,408688,364515,246914,
12814,7395,5279,1958,
98686,100655,82578,43518,
46378,27015,19144,7698,
158508,104570,68976,42199,
427146,221554,206092,147378,
19147,8953,6810,2929,
60525,48766,49455,26291,
24960,12665,9667,4662,
59603,29302,23656,15752,
403647,149733,110775,91125,
90041,24500,14002,9598,
51259,26168,18284,15103,
21722,6220,3859,1919,
34158,10427,5402,6076,
179847,176629,139503,20797,
1808,1331,571,117,
5705,9184,8769,1435,
14358,12930,10983,1091,
1656974,683874,908198,112530,
627638,519482,507149,299364,
6938,5623,4297,1310,
46351,65036,90067,30440,
60979,52291,50188,12466,
404464,372277,407511,247926,
727966,535182,503846,367933,
17085,10903,9647,3761,
91399,114380,136974,63503,
85249,58051,50417,19383,
232814,162480,136578,84521,
547041,380363,378963,235645,
41300,21860,19124,7809,
107510,116108,132949,65677,
77941,41437,33694,13271,
124586,76994,69969,41943,
353531,223535,177864,103933,
77632,38153,26190,11616,
93917,83654,79127,42610,
50548,17984,13152,6291,
73653,32410,22843,16916,
293614,136904,76737,45312,
370375,117428,55973,32239,
97386,51348,36373,17501,
35720,8885,3932,2698,
71786,18832,11194,8591,
3356,5273,3183,599,
94,0,0,24,
520,418,404,0,
458,248,255,0,
112340,53779,41230,2890,
12192,20022,21292,7356,
86,98,52,0,
2174,4064,2860,829,
1210,1212,1062,108,
27364,36187,29948,7857,
16716,26258,28412,12658,
366,745,375,30,
5426,9648,8662,3309,
