2010 Occupations for Hispanic groups, age 16+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Gender,AgeWork,Occup2
6,2,6,6
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
Male,Female
16-24, 25-34, 35-44, 45-54, 55-64, 65+
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
56041,284862,346154,285670,231862,63951,
156461,272775,378749,594584,331154,82437,
158669,190652,284730,465181,319214,70494,
108736,123106,168291,264759,230086,51317,
57275,62071,83657,108272,113829,26930,
16778,19232,32308,24378,30109,10433,
72227,498981,310065,12384,62712,19692,
195506,505035,378222,26704,137088,33866,
172937,356392,354094,26672,153169,31016,
114449,238933,246801,17100,107884,21900,
52823,112908,125337,7631,43448,9112,
11988,30734,36342,1883,8729,2477,
10522,50600,44608,18722,25133,1104,
29245,49749,40930,35917,36571,848,
33226,39079,32462,35373,33959,686,
25875,28172,25236,27707,26966,985,
15004,15120,15979,13874,17284,489,
3541,4926,5186,2471,6011,83,
11178,86974,44445,1505,8373,843,
44199,98885,41573,1724,11109,423,
43273,82776,39408,3022,13172,658,
31940,58685,30218,1438,10181,107,
15727,28280,19211,312,7387,241,
3711,6605,4725,245,2120,81,
3455,17193,11683,5282,6455,504,
13048,14032,9104,11456,9286,1054,
20596,19002,11692,21969,15257,765,
22007,15843,9238,18648,14722,532,
12933,8597,8449,8868,9396,375,
6370,7057,5510,4796,4549,293,
6483,27573,9706,207,1294,314,
17538,24690,9909,604,2212,71,
22421,30705,15058,1260,4361,15,
19795,27627,13690,807,4692,175,
9601,17014,9018,650,2932,154,
2908,7589,4663,359,1976,0,
9440,55838,66903,54285,35084,3371,
30522,55784,83469,132974,69288,6028,
26703,41456,59060,90820,67343,4486,
19907,24883,42954,55324,43542,2330,
7939,12353,19277,18499,20449,602,
2770,3464,7042,2972,3915,177,
12415,88262,53708,2509,9886,1572,
39499,92311,96829,7004,29376,2741,
34079,65580,104468,6952,34528,2156,
20628,45389,87392,4406,27486,1249,
8974,18199,44413,2449,11364,642,
2146,3803,9469,418,2811,179,
8644,32093,25030,11733,12208,728,
33346,36980,24358,34002,21230,529,
40183,29745,26538,34629,23256,738,
29620,25950,19683,28969,20787,609,
14870,11865,12257,12743,12791,312,
6122,6092,5160,3878,4609,253,
9068,44639,26353,963,2565,232,
40576,60316,33567,1791,8035,454,
39067,49618,42421,2567,12745,311,
26883,39302,44309,2329,11177,169,
12195,19591,25507,1505,7757,110,
4517,6761,8120,859,2144,63,
6922,25878,25226,14035,13369,1413,
17144,21826,17938,22486,15449,1186,
24435,20237,13752,20643,14581,1356,
19695,18315,11546,18668,11713,1121,
12502,9283,7138,10298,6940,1069,
4853,5079,3511,2849,3156,446,
7516,45790,27757,758,2692,548,
24601,43449,22620,1335,3475,507,
27101,38561,20805,921,4477,877,
22593,34694,17336,1469,5664,594,
13040,18870,12322,396,2868,307,
3185,7032,5567,347,1404,59
*****
