2010 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education, age 25-34, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,Occup,Immentry,EducAll
7,2,5,5,7
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
TopWC,OtherWC,Service,TopBC,OtherBC
Native, FB<1980, FB80-89, FB90-99, FB00-current
0-9Yrs, 10-12Yrs, HSGrad, SomeColl, CollGrad, Masters, PhD-Prof
4078,12392,106144,315801,759884,231028,126389,
0,63,51,455,1463,452,829,
0,78,992,2200,5126,2099,2337,
176,320,1988,3925,12630,7279,3369,
20,346,1908,4484,18374,13975,10742,
7301,27056,234739,496400,460792,60129,8103,
102,0,177,714,679,25,0,
0,140,1300,2819,3181,674,133,
573,894,2991,5366,5721,1629,395,
643,653,3446,6063,6444,3861,636,
6217,20447,145514,255085,107266,8829,1157,
0,28,71,190,29,27,0,
0,36,581,859,342,110,97,
522,214,2627,2681,885,117,73,
984,528,3748,3408,2255,215,87,
29129,75725,426421,412152,71294,4475,1358,
0,261,286,252,76,0,0,
96,265,1666,1535,765,102,0,
1105,1197,5202,3747,796,39,54,
1580,1103,8570,5212,2914,853,176,
17387,54485,317838,220516,39109,2413,381,
0,0,622,111,24,0,0,
64,213,568,740,14,0,0,
493,757,3799,3024,642,20,0,
707,557,3858,2656,1307,505,64,
2386,6973,77379,301399,766797,330710,116049,
0,0,69,521,647,275,410,
0,102,227,1351,6265,2127,1806,
61,61,967,3584,10283,6336,3028,
0,274,634,2933,12534,9996,5883,
8773,27351,311766,651615,440292,84109,6860,
92,0,132,742,643,95,20,
98,127,754,3865,2716,470,0,
103,278,3344,6560,5962,1534,285,
288,174,2884,6386,6259,2444,564,
7404,22344,137274,221487,70606,9492,1099,
0,0,74,369,24,0,0,
56,56,381,996,278,86,0,
665,478,2347,2165,793,346,135,
449,450,3155,4136,2520,468,381,
1772,2900,18873,22488,9330,1192,295,
0,0,0,0,0,0,0,
176,0,94,84,0,0,0,
112,25,215,125,57,0,0,
65,0,326,507,344,72,44,
2487,7809,45897,35609,10842,1338,151,
0,0,0,0,84,0,0,
0,0,104,0,93,0,0,
270,98,428,413,358,93,0,
365,84,573,512,463,45,0,
814,1914,13891,38029,53979,15068,6053,
0,0,30,175,187,81,0,
69,63,387,956,2111,473,200,
58,68,490,2330,4867,1919,488,
0,0,847,1969,2870,1863,911,
1357,5882,48255,85096,41319,5221,867,
0,0,127,104,169,0,0,
148,0,1212,2203,1633,95,0,
89,424,2863,6082,3592,918,53,
146,518,2642,5644,2863,1038,187,
2833,11608,47196,53553,11316,1048,196,
0,0,155,118,53,0,0,
