2010 Occupations for Asian Alone by Asians group, age 16+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Asian,Gender,AgeWork,Occup2
7,2,6,6
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
16-24, 25-34, 35-44, 45-54, 55-64, 65+
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
23676,34518,18675,2796,4635,124,
78732,33257,17371,5893,5413,243,
88392,28645,20964,9959,8721,248,
73546,27876,26557,12873,13649,255,
39271,19349,19567,9080,10548,447,
11664,6023,5092,1662,2253,136,
23442,42921,17093,264,1222,76,
87152,43865,16680,568,2851,118,
85166,45177,24510,1853,7342,188,
62358,48070,31775,2619,14241,435,
27832,28965,21459,1633,9370,209,
5209,5522,4650,304,2066,21,
1774,4860,3915,449,1333,62,
11266,6300,2504,1428,1074,87,
19949,7723,2475,2324,1713,160,
18022,9023,3180,4067,2133,633,
11872,6733,3310,2903,2467,273,
5212,2703,1770,746,1099,445,
2687,8360,4321,102,425,28,
13713,12055,3522,392,313,92,
18725,14062,3537,338,819,43,
16664,15555,4557,290,733,231,
11509,12204,4567,417,674,318,
3641,6539,2734,393,862,111,
7982,30014,16568,4550,7465,249,
34214,38352,18149,11844,10789,270,
40552,32752,17126,12008,13949,470,
25690,27251,17305,12945,15980,458,
16802,18989,15636,9144,10875,515,
7857,6464,8255,2740,3870,806,
10510,37237,18462,490,1303,215,
53264,49944,21792,903,4229,135,
67228,52908,28590,844,6939,420,
52325,46851,31402,1472,8566,281,
33427,33855,23946,926,7335,659,
9580,11973,11468,367,2956,434,
7224,13038,8482,2085,2924,57,
28261,18332,5662,3459,2940,0,
36803,19260,4700,5182,4168,107,
20370,17188,4290,6894,5054,249,
10449,10691,3366,4078,4201,139,
4995,4261,1934,1582,1681,125,
8253,20909,12117,252,1277,198,
35250,24328,8494,537,1266,29,
29862,22381,11514,947,2276,31,
18127,25047,14622,1884,4819,125,
9113,13294,9945,1073,4644,63,
2106,3511,3140,483,1006,80,
21917,30267,11977,2188,4079,347,
157371,38394,8166,4639,7131,67,
112038,33546,6071,5141,10398,378,
49738,27528,5457,5900,13036,541,
31084,17910,5158,2764,8794,271,
14516,6712,2217,794,2942,96,
14347,29018,10751,85,992,37,
106968,38630,8216,388,3000,308,
61265,34933,9367,572,3976,152,
28618,27187,9987,522,6269,652,
16269,15821,6847,401,4256,164,
3178,3563,1503,227,1036,50,
4888,13893,9898,3339,4690,186,
18422,17420,12047,6343,8560,321,
25120,16857,17066,12577,16647,395,
14094,11410,11191,10481,14520,809,
6793,6929,6909,5648,11844,418,
2100,2134,2542,1531,3273,203,
5936,18496,11057,360,898,270,
23576,18850,24556,720,3492,67,
20027,18143,33583,1933,10540,203,
9201,11968,19505,2001,11595,418,
4550,8797,12884,1559,8838,99,
1065,2314,1915,332,1589,80,
8719,33910,22293,7382,16612,991,
35615,35919,17093,15410,23010,962,
35644,27241,14351,13474,22349,704,
22910,20595,12960,11226,19832,574,
13202,11317,9109,5880,11152,804,
4152,3320,2762,1452,2130,117,
10812,49595,25341,1273,5232,341,
37668,49868,22573,1739,10300,547,
28435,34580,21920,2070,12765,677,
16615,24421,19128,2087,12979,435,
9591,13187,12823,926,6065,573,
1922,3011,2286,281,974,51
*****
