2010 Employment status for Hispanic groups, age 16+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Gender,AgeWork,Emp
6,2,6,3
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
Empd,Unempd,NILF
967837,188643,916956,1576482,130227,228624,1328348,93293,168244,827490,66466,166769,357336,33327,204845,78267,6341,454783,
689872,144140,1081391,981630,105895,782353,894965,83656,622724,621557,51288,423587,268952,19988,391452,49876,3314,677374,
97083,35077,139134,152435,20781,47222,142370,16966,46068,113071,10371,52855,58824,4892,58660,10274,1164,104009,
102580,25374,141847,151522,21366,68831,149657,16062,71528,111678,9394,79405,54644,3850,93094,8885,744,158456,
31317,7844,40704,50189,4936,9315,79212,6439,11765,70984,6517,16045,40306,3684,20047,18086,1572,93684,
31866,5428,42632,45752,3839,18359,64816,4701,22116,57501,5656,24629,31349,3013,35722,9863,838,152033,
174019,37753,150781,332855,29269,36247,260821,19875,24212,167891,13511,24719,65534,5719,27224,11773,1643,54892,
122082,26032,166104,212338,26487,118645,208610,20150,92658,157729,14710,75910,68751,6213,79590,9653,789,135135,
64994,13681,78299,134792,9727,11697,143711,7406,9435,113851,8345,9666,54739,4647,15906,16351,1669,52737,
61051,10496,78476,116532,9695,51304,120680,10809,55434,107262,8606,41751,53894,4683,42879,14003,935,105523,
55691,13109,72042,74926,7853,24066,81527,5686,17586,69560,4608,20701,37035,2691,26161,10522,943,72252,
58022,11551,66554,74835,6943,31597,76175,6627,31042,69341,4072,33706,35438,2688,41115,9566,632,105108
*****
