2010 Marital status for age 15+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeMar,Marital
7,2,6,5
NhWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
649546,3523,50972,32465,12025248,
5338257,13593,694499,193066,5619381,
8488219,46210,1637425,272990,2523407,
10451443,145995,2547038,299189,2052554,
9507404,287540,2022276,174399,1017051,
10057840,1789648,1247399,107026,589043,
1104439,7432,98626,72566,10947310,
6262739,37977,923430,304490,4139996,
8795584,118439,1923735,401149,1629823,
10624830,432013,2926547,376805,1372232,
9002521,1021224,2577264,195677,814343,
7844959,7338427,2024684,93802,692592,
89150,1165,7402,9433,3170438,
664584,4186,108797,69338,1650047,
1130618,14341,311361,128437,936342,
1205081,39942,439343,154643,707290,
906340,67725,341301,107437,270842,
715558,224350,194990,63586,112326,
120505,1913,9721,14113,3100708,
683626,8547,157798,130559,1796479,
1048519,42652,436994,216929,1104035,
1099526,129958,635630,228630,792815,
751869,271046,523811,138105,357841,
477786,968503,348558,69102,183788,
34873,396,1671,1314,1050699,
537177,1278,25482,9152,639437,
914288,1960,51774,14126,206369,
797290,6572,62575,15539,94969,
583167,11932,48322,10936,33166,
481386,56791,31153,10764,17111,
85287,704,2984,2900,958793,
822418,2605,41561,12504,475902,
1046912,11190,93145,24141,160648,
865234,35182,117552,24284,84120,
597950,80085,94166,17184,51364,
365598,322412,52431,11942,32149,
337781,3115,14756,17816,4028854,
1843777,8540,166721,101095,2090988,
2280562,14632,311064,129101,842768,
1717323,27446,325437,100235,374253,
1002170,37839,185037,51954,128313,
755280,138141,110814,33720,56063,
516776,3827,25093,39362,3361576,
1953633,18168,231894,175924,1432178,
2134927,41396,406256,213100,616393,
1542012,90093,422244,166343,313492,
858863,153591,299308,87975,145822,
552567,576015,202608,51235,110403,
12411,118,1342,961,210239,
60862,236,9927,3592,101356,
84044,1516,27045,6952,57579,
86686,2955,34504,7190,34435,
70044,4567,25546,3844,11175,
47259,13705,11496,2047,5186,
21160,177,1967,1577,189783,
69909,994,13971,7799,81997,
87011,2158,31932,11385,46019,
93575,8016,39981,9552,31878,
63159,14024,30043,4724,12073,
33520,42576,15476,2300,5850,
2216,0,164,286,50179,
21519,76,1653,1027,29151,
29617,287,3864,1306,11978,
25130,386,4804,893,4305,
15127,726,3050,455,1642,
9721,1666,1440,463,515,
5133,98,154,594,48922,
28142,264,2716,1652,21430,
30052,329,6243,2505,8739,
23344,1150,6746,2101,4314,
13022,2628,5101,767,1755,
6437,6232,2524,508,1417,
16993,196,1609,1680,497840,
119173,222,18339,6724,188677,
145598,1282,38313,9141,75697,
131262,3636,49113,8564,41675,
94952,4912,31066,3907,13948,
75188,15908,18621,1788,5425,
32264,275,3094,3458,479861,
139794,2103,29136,12221,162998,
155224,3726,47458,14508,58369,
135786,9353,62452,12895,33661,
90312,18860,46804,6726,15081,
52354,65027,27776,3495,7460
*****
