2010 Education and immigration status for Hispanics groups, age 25-34, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Immentry,Gender,EducAll
6,5,2,7
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Native,FB<1980,FB80-89,FB90-99,FB00-current
Male,Female
<9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
84539,167117,409738,428752,126100,19255,7817,
70354,122355,345971,488534,174192,42952,10371,
4304,5087,9850,9458,1910,600,136,
2594,4489,8762,11706,3496,999,133,
35757,31040,60009,40157,10260,1238,550,
25910,23385,49240,46310,12613,3260,683,
321459,98172,193094,69391,17599,2332,1021,
236856,73417,142846,67969,15506,2081,864,
341164,85522,213759,62913,24087,4510,3478,
261126,59835,161237,54092,30746,4166,3804,
25811,41524,114507,101811,36312,8180,3109,
18809,37529,92142,125044,52828,15244,4334,
69,0,182,72,112,0,0,
0,0,0,140,13,0,0,
41,0,183,316,128,29,28,
93,440,68,222,141,112,0,
827,369,298,368,169,30,33,
211,80,429,566,164,27,0,
475,274,787,392,149,80,0,
114,70,469,375,215,0,64,
1734,2905,13442,21063,13050,2567,1768,
1313,2146,8571,20571,15191,5199,2158,
0,27,184,436,94,67,0,
0,24,58,258,147,99,0,
212,912,2527,2104,925,391,110,
94,243,2275,1983,1272,225,84,
791,1436,5943,3738,937,364,24,
368,1212,5080,4358,1373,501,374,
2805,2710,10379,5150,1904,249,712,
1108,2526,10684,6000,3415,266,553,
6562,8456,29946,39314,15150,3385,1843,
4960,6168,19054,40939,24970,6348,1889,
202,653,1385,1701,491,206,112,
179,354,1181,1591,835,579,52,
7310,7429,19653,21391,7831,1173,282,
4900,6146,16851,24751,11074,2804,388,
64308,25049,48663,26643,8994,1507,779,
42552,18594,38192,31793,9292,2158,291,
127569,23543,61994,31282,12898,1826,1223,
77943,16475,49496,28815,13561,1981,1810,
2421,2441,13196,24018,16197,4130,1793,
1138,2138,8849,19992,21523,6486,2295,
112,266,893,1630,773,133,188,
39,17,420,1115,782,550,268,
1082,1518,5032,8253,6012,1126,770,
465,802,4839,10417,5925,1952,579,
5359,4792,18270,18168,10082,1907,679,
3261,2722,14139,22155,9509,3144,925,
13223,5176,25107,21946,14021,6118,3588,
11101,5580,24314,32048,26005,7068,4768,
7067,12803,39455,46934,16728,3307,1633,
5118,8385,30938,55577,22620,6076,2037,
50,123,0,168,208,26,0,
109,96,313,236,146,0,151,
574,501,1588,1185,664,429,64,
310,515,1402,1693,604,213,114,
3084,1329,3817,2104,547,352,86,
1686,1442,2457,1927,716,518,179,
3525,1001,3324,2090,2551,1500,1215,
1892,863,2227,2594,1883,1251,1194
*****
