2010 Marital status for Asian Alone by Asian groups, age 15+, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Asian,Gender,AgeMar,Marital
7,2,6,5
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
15-24, 25-34, 35-44, 45-54, 55-64, 65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
5617,0,127,208,242790,
92731,330,3437,856,139064,
189788,395,7992,2270,43958,
210782,1760,14137,3758,22216,
150834,2219,11322,2348,7962,
135775,14332,7240,3007,4056,
9126,151,83,138,224929,
142182,370,6875,1338,116914,
230433,1520,19710,3736,34849,
230242,5543,27590,5362,20154,
152434,14223,21161,2796,12793,
95370,77540,10103,2907,5992,
778,0,13,37,32683,
14160,0,829,191,23377,
35173,80,2741,694,15076,
37758,320,6663,1556,14657,
31957,825,6470,1001,6662,
41936,7669,4036,190,4735,
2105,0,32,130,35385,
27219,108,2789,584,23143,
55973,237,5942,1022,12366,
50525,971,9363,1144,9100,
39772,3675,9489,1004,5297,
50336,44116,10336,512,6050,
4944,160,724,337,163447,
69921,109,5472,2193,99924,
127511,282,11173,3221,40934,
124755,1189,11931,3362,19024,
104951,2290,9994,2128,5919,
93337,10488,5520,1563,2599,
12254,133,420,443,151417,
118276,901,9902,2936,81951,
187370,2985,20629,6570,36417,
173350,7597,27557,7010,20933,
130256,18215,20845,4975,15658,
81016,73324,10795,3139,10955,
2809,0,33,34,106769,
36828,130,1593,424,68228,
85200,198,3431,1083,21993,
73667,661,4846,1088,5229,
48905,779,2961,1134,1242,
48191,3933,2866,1300,968,
4501,31,428,89,111159,
65814,156,2637,813,65262,
110936,1296,9168,2155,17499,
101352,3689,16112,2407,5254,
62324,8419,11981,1796,2395,
41940,33216,7774,1369,2060,
4128,0,164,67,174436,
193549,392,4589,2067,133806,
234800,269,7873,2171,18586,
145481,842,5483,1439,6544,
105219,1823,4273,1017,2772,
72825,8193,3614,877,1855,
20468,67,103,146,135107,
261685,339,4360,1160,58514,
198014,1646,8311,2086,11141,
122986,5252,8038,1057,4307,
87851,10579,6232,1764,3157,
38836,35083,2741,342,1579,
3399,59,119,229,108277,
38177,0,2861,1282,63455,
104530,353,7596,1295,31844,
86223,339,7550,1451,12415,
60861,1360,5827,1031,3940,
45746,5941,4087,2421,1254,
8307,140,311,419,98362,
69619,141,6058,1486,47830,
112865,1295,12657,3469,23805,
77072,3615,11277,2201,11449,
58404,10590,10679,2118,5587,
31314,25237,5059,1973,3106,
13163,177,491,402,221818,
91582,317,6701,2139,111357,
137260,383,10968,3330,33950,
118461,1461,11965,2885,14884,
80259,2636,7475,2277,4669,
43576,6197,3790,1406,1644,
28396,182,1607,1535,202093,
137537,590,8940,4187,82231,
151294,2211,16728,5103,24550,
109527,8515,17615,5103,12923,
66835,14384,13779,2731,6477,
26717,33896,5623,1700,2407
*****
