2010 Hispanic population by Hispanic group, age, gender and immigration status, wgtd 2008-10 ACS, SSDAN/U-Mich
4
Hispanic,Immentry,Gender,AgeAll
6,5,2,8
Mexican, PRican, Cuban, CAmeric, SAmeric, Other
Native, FB<1980, FB80-89, FB90-99, FB00-current
Male,Female
0-4,5-14,15-24, 25-34, 35-44, 45-54, 55-64, 65+
1798570,2961945,2098868,1243318,824833,624712,393848,315475,
1737765,2845386,2005069,1254729,845242,662429,427370,412839,
0,0,0,31345,143349,320909,272725,201947,
0,0,0,32179,142728,256443,242201,229681,
0,0,58699,179011,537123,352774,95304,39889,
0,0,53340,161401,357494,274706,82489,46465,
0,63767,291858,703068,566236,170317,54003,30130,
0,59344,265989,539539,570757,192636,74887,48947,
33494,246533,621476,735433,314977,117474,39909,25583,
30337,238015,400403,575006,272451,111837,53312,41773,
228341,425638,399311,331254,297409,247042,157057,124227,
209402,405737,392230,345930,325461,266718,183399,172663,
0,0,0,435,485,1535,1923,1609,
0,0,0,153,1169,1314,1723,2924,
0,0,155,725,1567,1575,862,679,
0,0,102,1076,1110,1217,824,614,
0,94,1038,2094,1971,763,218,236,
0,0,1447,1477,1705,1140,374,397,
156,667,2317,2157,944,930,234,260,
125,407,1414,1307,1264,586,449,403,
50022,88683,80463,56529,46099,25918,8952,7453,
47035,83359,81747,55149,47913,26309,9763,8631,
0,0,0,808,11754,51419,31743,79724,
0,0,0,586,13016,47275,41567,110968,
0,0,511,7181,14857,18821,22625,19366,
0,0,285,6176,12201,13671,13240,19139,
0,2096,12764,13233,32765,24233,14461,11695,
0,2258,11315,13266,25012,17854,13275,16578,
1275,15314,21701,23909,38933,22690,11325,9685,
866,12738,21704,24552,32707,20537,13824,16733,
244751,359750,264679,104656,45714,19565,8856,4418,
241022,345811,258093,104328,48207,20122,9548,6563,
0,0,0,4750,24954,58800,54119,37470,
0,0,0,4771,24053,67600,77036,75262,
0,0,12616,65069,132171,125230,49587,18045,
0,0,9844,66914,127007,142071,62566,32937,
0,8107,65077,175943,149803,63247,21767,11757,
0,8388,58831,142872,161401,79793,32939,22849,
13151,56268,197944,260335,106117,40896,13530,8061,
12465,55733,124957,190081,90145,40826,20524,18310,
101944,151070,112808,64196,44190,15380,6068,5241,
98712,146428,111927,62421,40567,15446,7885,5642,
0,0,0,3995,16909,36775,43777,50202,
0,0,0,3191,16639,38336,48583,70390,
0,0,6320,23793,38442,60990,26373,10792,
0,0,5467,24979,37666,65467,31085,18578,
0,5832,35442,59257,69609,47175,17727,8878,
0,7135,33338,55855,81025,56555,24880,18221,
3688,39714,74289,89179,69416,41513,17960,10024,
3735,35555,65906,110884,89292,53033,24295,19545,
112849,209529,186911,127927,115651,109073,73556,74615,
101900,196406,181153,130751,122828,120133,85529,94693,
0,0,0,575,3827,9479,9827,15837,
0,0,0,1051,5918,9025,11767,23202,
0,0,1058,5005,11016,9707,3918,2021,
0,0,1123,4851,8850,9865,4657,2902,
0,1239,5311,11319,10603,5948,1890,1600,
0,961,3808,8925,12553,6503,2452,2660,
686,4060,10729,15206,9462,2900,1518,867,
1274,4243,7517,11904,8595,3109,1578,1814
*****
