2008 Full-time year round workers by occupation, gender, immigration status, race/ethnicity, and education, age 25-34, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,Occup,Immentry,EducAll
7,2,5,5,7
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
TopWC,OtherWC,Service,TopBC,OtherBC
Native, FB<1980, FB80-89, FB90-99, FB00-current
0-9Yrs, 10-12Yrs, HSGrad, SomeColl, CollGrad, Masters, PhD-Prof
12551,5507,14851,7425,2424,105,71,
83025,21819,55760,15989,4882,215,150,
75091,14617,48332,13114,5897,677,684,
23626,35458,103103,65705,8155,608,509,
2732,2181,5060,3156,260,0,0,
20346,11500,25555,11128,1383,76,153,
166076,42033,109153,28501,6927,520,394,
138108,29338,85001,22249,8171,661,672,
16023,28600,86662,45954,3951,349,118,
1539,1320,4965,1841,6,31,0,
11661,9050,19721,6837,676,141,0,
74344,25740,60767,14601,2936,432,167,
49883,12132,40353,12322,4062,432,368,
1766,3563,22935,60544,77368,25330,8804,
133,350,1250,2641,2794,1054,324,
287,797,4089,6778,9063,2790,767,
1592,1315,5316,6749,8514,2887,1243,
979,477,2985,2910,6767,3317,1998,
7812,23385,130723,178289,56018,9206,1369,
415,1364,5477,7571,1826,605,0,
2747,4729,19963,21384,6434,1049,72,
10345,6015,28917,24174,7940,1211,413,
4670,2723,13106,11230,8342,1452,747,
6551,11359,38471,47304,7340,962,638,
712,579,1711,1056,275,215,0,
4107,3816,7793,5832,1384,212,67,
31884,9872,26579,11250,2316,263,84,
28605,6542,24300,7615,4164,227,351,
941,675,4896,3977,810,20,47,
325,199,226,170,0,0,0,
1149,705,1900,628,37,0,0,
7859,1413,3893,812,309,0,67,
5975,1491,3252,754,737,82,0,
4744,4980,13113,8047,1265,34,0,
391,423,1006,311,0,0,0,
3789,2317,3989,785,175,0,0,
22841,7294,14346,4801,913,103,23,
14670,3954,9529,3599,1335,194,181,
240,335,1909,4165,3225,779,456,
0,11,0,0,0,0,0,
0,136,0,195,29,0,0,
