2008 Asian Alone by Asian groups: full-time, year-round workers age 25-34, wgtd 2006-08 ACS, SSDAN/U-Mich
4
Asian,Gender,Immentry,Earn
7,2,5,6
Chinese, Japanese, Filipino, Korean, Indian, Vietnamese, Other
Male,Female
Native, FB<1980, FB80-89, FB90-99, FB00-current
<25K, 25-34K, 35-49K, 50-69K, 70-99K, 100K+
3117,4377,7537,8848,6935,4867,
281,421,755,1371,1082,959,
2931,3027,6125,6428,4373,3384,
6886,4578,6272,6232,6027,5183,
9668,4037,5622,3568,3760,2135,
2057,4056,6949,6287,5638,2916,
350,311,700,753,1274,579,
2079,2405,4802,4257,2915,1950,
6460,4104,6264,6700,6310,2695,
7199,4113,5711,4120,3489,1544,
2280,2362,3384,2383,2500,1107,
254,67,133,183,85,38,
98,337,233,237,215,157,
486,441,1113,660,496,177,
1189,998,1581,1242,737,878,
1108,2325,2751,2398,987,504,
63,69,101,186,238,7,
170,249,445,353,140,118,
547,755,1566,833,340,250,
717,908,867,519,451,280,
6728,7621,12153,9373,6097,2875,
369,666,790,1111,757,269,
2543,3890,6154,3869,2152,649,
4030,5102,6003,3869,2461,917,
4129,2714,2927,2346,1440,985,
4601,5229,9469,7288,3456,797,
461,570,692,584,403,254,
2211,3243,4395,2686,1701,475,
4833,5281,5411,4238,2320,1064,
5639,3673,3967,3601,3552,804,
1896,2945,3401,2833,2540,1948,
461,682,1217,845,1745,772,
1235,1742,3743,3108,1743,1393,
1609,1866,3643,2807,1376,589,
2017,1537,1883,1428,944,601,
1509,2077,3209,2816,2031,1117,
611,859,1476,2002,1344,553,
1626,1687,2231,1924,1683,537,
1751,1228,2768,1911,799,551,
1226,1419,1642,922,654,268,
1996,1974,4109,5909,4531,4769,
523,416,757,1000,1079,1293,
1513,1498,3211,3391,2821,2370,
5691,4893,6363,10493,20405,16253,
9574,6150,12954,32791,33299,11548,
1399,1399,3883,4119,2476,2473,
176,116,897,1480,415,596,
653,1060,2384,3095,1683,947,
3474,2985,4289,5566,6687,3461,
4820,3206,7298,11436,9221,1909,
1672,2021,2723,2832,1663,1028,
422,510,1277,1531,1581,1018,
2406,2372,3728,3485,2517,2003,
6988,5784,6968,3741,2297,814,
2337,730,1106,562,249,274,
1936,2417,3227,2090,1245,767,
461,408,1222,1198,938,686,
2140,1827,2267,2358,1808,1450,
7405,4068,3750,2284,879,1144,
4393,1826,1092,488,320,66,
8663,8455,9286,6313,3421,1417,
759,1123,1585,1218,747,514,
4049,5965,5565,3718,1631,1054,
5275,4681,4942,3988,3230,1994,
6093,3554,3412,2330,1913,576,
7313,8150,8483,4253,1812,743,
708,1047,1012,799,583,251,
5190,5558,4958,2231,810,572,
4380,3400,3222,1206,1023,559,
5455,1856,1804,1227,767,341
*****
