2008 Occupations, age 16+, wgtd 2006-08 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Occup2
7,2,6,6
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24, 25-34, 35-44, 45-54, 55-64, 65+
TopWC,OtherWC,Service,TopBC,OtherBC,Farm
884095,2656126,2592976,1626779,1550677,222166,
2996581,2716030,1385318,2502779,1739173,160465,
4214778,2908956,1268883,2748294,1984699,181439,
4679425,3115635,1202279,3013333,2291643,256932,
3618491,2436457,878492,1744737,1551974,207734,
1480945,1181328,524954,596808,706112,216191,
1098145,4207671,3356189,97270,342156,105717,
3738875,4482431,2033234,131152,436955,65038,
4400289,5068993,1865328,178785,583961,72715,
4765557,5953340,1888678,206715,748090,88443,
3245757,4437438,1256680,111160,500875,63377,
943779,1929444,656047,48905,205217,38574,
102819,597662,578709,178081,364321,11257,
323808,560048,448712,319876,529738,10554,
369605,475643,431915,355169,568827,14774,
315577,395735,388466,344674,519650,19551,
181698,202021,208162,172347,284620,11781,
59693,65743,96431,50420,95422,6657,
144183,1045255,559110,18992,102380,3574,
497357,1087154,654010,28201,168265,3694,
591631,1034879,674329,35454,219408,4938,
521393,868478,634670,33697,218818,4380,
299966,472327,370729,13778,111236,3208,
83477,137751,176220,4963,31609,1778,
96329,219909,115705,34242,55249,2773,
514779,265626,109525,74917,85572,2781,
516203,256363,122820,100218,126656,3528,
306532,209841,122127,95913,125426,5914,
179328,130913,84915,54901,78254,3395,
68312,44803,33568,13810,24563,3243,
89483,279681,121128,3758,13127,1542,
454015,334829,136472,7924,38878,1580,
425230,322530,185692,14002,73301,2694,
276513,279173,179810,16573,93230,2932,
144468,165240,118729,9608,58414,2226,
35215,45540,38616,3387,15612,1796,
116563,595147,633234,594582,448170,91486,
408892,655898,797163,1308118,754651,136656,
426546,490865,601598,1007394,726520,108229,
302925,325473,380549,577388,489520,74660,
150921,158188,203727,234062,250055,39475,
55149,63811,84212,58151,74986,16606,
149987,1033145,584740,25123,121493,33425,
464071,1118005,764741,56031,286232,55366,
436000,858111,771898,58721,318671,50683,
305186,586049,570340,37910,235141,32690,
133790,275805,300173,17655,103664,14105,
37979,82254,93988,5023,27194,3829,
5511,29145,39801,30625,26384,5958,
18968,29022,29584,45083,26856,6118,
21421,23138,28013,45419,29315,5872,
23127,19102,22169,39668,26918,3724,
15763,14189,11706,17109,13394,3530,
5191,4236,4377,4127,5373,1142,
8841,60279,46010,2138,6853,1292,
24976,63789,38891,2617,8985,1547,
30456,60968,38645,4689,11885,1773,
28864,52862,38430,3936,11682,1210,
19384,30366,19557,1801,5980,594,
3863,9428,7648,398,2083,355,
3280,12020,10969,8751,5348,526,
14543,12359,8753,14598,7508,711,
11763,10028,6910,12692,7454,451,
8963,7592,5187,7480,6751,638,
4322,4165,2977,3538,2319,312,
1533,1144,872,1136,1087,49,
3410,17622,13410,363,942,259,
12652,20866,12753,855,3130,297,
11950,16008,13313,1129,2495,294,
9465,10739,8844,751,3095,189,
3797,6310,4968,106,1148,69,
1027,1079,1208,156,151,74,
22634,86046,84737,34928,42136,3960,
58920,65667,42802,46006,42361,1595,
57563,46575,32482,44813,33190,2088,
44486,33348,22919,40605,30489,2579,
28136,20672,13890,17332,16586,1350,
8715,7971,6013,5888,5249,1237,
29665,146676,101330,2501,10455,2350,
73719,113025,56804,3997,10126,1210,
67538,86107,40014,3457,10595,916,
54084,77236,37022,3296,9692,1098,
29940,44599,20008,1412,6387,758,
8389,14534,9890,531,2424,437
*****
