2008 Work hours by race/ethnicity, gender, education, age 18+, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeWork,Educ,WorkHrs
7,2,6,4,4
NHWhite,Black,Asian,Hispanic,AmIndian,NHOther,NHMulti
Male,Female
18-24,25-34,35-44,45-54,55-64,65+
LTHS,HsGrad,SomeColl,CollGrad
Full35,20-34,10-19,<10
8840,5935,2003,1203,21385,11949,2241,851,19522,12910,3587,1138,3601,873,191,79,10346,3367,1422,559,28073,7221,990,1030,38054,8022,1791,827,16663,2442,450,477,
11663,3534,556,445,31209,6446,935,793,40336,10051,1382,820,19554,2442,671,532,10358,3645,844,583,29629,5182,1165,1144,39013,6326,1772,828,18795,1699,555,378,
5818,2440,245,386,16326,4374,771,522,16256,2977,874,608,10734,1749,414,315,1525,1102,185,405,2580,1428,778,550,2860,1181,480,265,1505,561,148,140,
5180,2183,418,78,8809,2059,612,185,6825,4145,1053,553,2628,600,67,69,9553,457,273,0,13121,1330,113,171,12880,1335,57,94,15425,1409,231,27,
8127,335,173,42,12937,699,115,108,9952,463,152,114,14125,396,108,85,6774,570,161,51,8501,697,123,82,7370,401,69,47,9139,328,231,102,
3154,176,69,20,3512,207,85,30,2247,380,52,231,4609,529,232,49,999,335,71,30,751,206,56,0,518,118,263,126,972,162,148,0,
1586,1091,683,348,5912,2385,843,126,5519,5380,2187,608,1629,746,361,211,4196,1084,393,181,8142,2081,313,438,9950,2168,511,348,12481,1850,560,191,
4810,909,127,121,8976,2340,159,436,8828,1706,329,181,9607,1735,427,472,4013,510,102,96,6598,929,280,63,6545,1154,250,44,8477,1076,455,130,
2177,486,43,138,2879,420,140,129,2879,463,169,76,3375,699,227,87,429,141,86,148,314,297,147,17,158,257,321,0,191,269,25,18,
15373,10565,4341,2074,46452,21966,6652,2244,47150,31368,12345,2967,9644,3897,1136,267,16521,3562,549,246,60147,7550,1058,890,79182,9004,1536,809,56308,5362,960,283,
15261,2158,611,639,51418,5034,887,1087,63627,4724,643,582,54251,3022,403,215,12047,1926,458,206,42521,4229,850,357,51976,4230,764,532,38230,2828,402,199,
6780,891,394,281,16260,1895,311,221,24477,3221,725,663,22974,2808,798,471,2455,1603,349,288,3164,1307,684,397,3865,1899,398,334,3576,1568,543,441,
8785,10272,3551,1942,33216,24643,8454,3133,43267,44454,17615,5679,12818,6052,1840,547,7230,4050,768,408,31776,10795,2116,1055,68577,18545,3919,1566,65397,9600,2042,1261,
6652,2462,561,482,31569,7081,1710,878,58935,12974,3731,1533,47155,8310,2343,1364,7070,2519,453,423,29124,6706,1515,749,49162,10954,2847,1302,39886,6569,2111,958,
4389,1279,459,311,14694,3868,1283,763,25281,5900,1119,910,18876,3591,1198,780,1684,1077,533,190,2552,2108,901,545,3860,2337,1278,925,2560,1438,658,644
*****
