2008 Marital Status by education, gender, and race/ethnicity, age 15+, wgtd 2006-08 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeMar,Marital,Educ
7,2,6,5,4
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Separated,NevMrrd
LTHS,HSGrad,SomeColl,CollGrad
323571,198565,143701,84072,
80613,35676,23318,10371,
84874,69639,61222,33635,
49180,18028,10165,6371,
63630,25890,19353,12609,
278298,123827,60094,38951,
371835,111269,50012,32028,
91455,42633,26292,15186,
36771,8700,4204,2815,
63095,18444,9322,9219,
4519,4917,3278,593,
103,79,48,44,
200,352,325,0,
820,513,114,0,
109380,56829,37402,2235,
13920,21878,21178,8274,
89,256,16,9,
2033,4551,2166,488,
1634,1486,1228,289,
24977,37484,25214,6620,
17162,29211,26281,11856,
578,421,543,109,
5264,9918,8069,2524,
2986,2751,1521,464,
15803,21498,12957,4423,
17975,27476,28551,13423,
672,918,842,356,
6779,11845,10708,3523,
2473,2246,1862,545,
9341,10720,7735,2437,
12536,19070,20186,13057,
1545,707,1141,494,
4053,7792,7113,3713,
1090,1150,842,321,
3675,2996,2363,784,
17819,11960,9850,6510,
7864,2855,2331,1016,
3631,3671,2342,1469,
1224,304,363,117,
2421,1115,677,502,
4364,8003,6467,1238,
349,135,25,0,
351,724,637,97,
650,785,520,136,
93185,44467,41499,4087,
11237,19091,24494,11857,
165,418,530,218,
3036,5348,7352,1528,
2002,2189,2585,425,
13962,25017,26150,8454,
13921,26540,32480,14954,
795,1009,1133,150,
5704,9760,12781,4589,
2397,3464,3947,986,
8757,15331,14266,6201,
13616,29575,32532,13787,
1917,2435,2184,607,
6820,12988,16117,6087,
2400,2724,3366,504,
7159,8818,8235,3836,
11498,21152,18002,9373,
4110,5039,3553,1784,
5812,8605,10311,4382,
1428,1713,1272,488,
2725,2304,2120,1677,
12330,9576,6686,2769,
24261,11852,8255,2968,
4707,4695,4552,1500,
1299,444,393,90,
2987,1233,808,676,
1171,1587,867,217,
81,89,0,0,
74,51,15,15,
0,61,56,0,
28187,13399,16256,3651,
4979,7291,6434,9227,
201,120,79,0,
472,325,465,291,
294,486,364,217,
5507,7917,8293,8608,
5506,9028,7011,10622,
0,60,0,0,
729,1744,1375,1097,
682,409,186,431,
2860,3588,3148,3258,
5276,7513,5543,7573,
259,52,253,28,
1279,1386,1335,1213,
545,269,589,141,
1416,1847,838,1445,
3034,3762,2344,4678,
292,48,137,283,
820,644,885,1052,
194,190,290,91,
220,510,623,461,
3745,2143,1305,2333,
778,487,111,247,
531,178,283,393,
298,0,70,108,
477,50,108,131,
1247,2354,2478,249,
84,87,118,0,
75,0,0,85,
294,192,171,0,
24576,10929,15138,3013,
4571,9023,7621,11280,
232,69,0,86,
1058,582,1465,790,
552,472,583,187,
3543,5618,7128,7301,
5056,10323,7863,10467,
138,143,69,64,
1300,1767,2091,1802,
1130,1105,1136,479,
1581,2404,2976,2529,
5022,6567,5655,7464,
505,646,438,251,
1431,1427,2025,2733,
707,739,561,381,
1170,1138,1843,887,
3132,3492,2475,3768,
908,785,641,330,
892,700,1562,1188,
766,470,343,130,
407,306,224,477,
2856,1956,642,1220,
5008,1982,1424,650,
993,374,650,503,
385,201,0,53,
981,399,62,258,
2811,7014,6835,1025,
98,136,31,0,
506,704,257,101,
265,747,368,24,
199095,90336,105382,15706,
7677,28809,38810,27273,
65,185,75,32,
2684,6461,6322,1897,
1869,2068,2641,778,
17554,44741,52163,35946,
10592,32973,42526,39102,
183,391,336,193,
5002,13760,11919,4881,
1221,2680,3247,961,
9538,20300,20665,15466,
10951,32937,38409,30660,
646,1140,1268,501,
5530,15900,15500,6747,
1421,1795,2353,1039,
5246,10219,11089,6276,
10359,19962,27499,24963,
1029,884,1469,913,
4399,7315,9568,5328,
725,823,763,671,
2373,3273,3748,2623,
16225,16040,15391,12470,
6103,4490,2577,2111,
4385,3348,4715,2563,
763,465,435,316,
1497,1253,918,862,
3624,9960,12168,2643,
57,96,156,0,
448,1116,1171,28,
547,1519,1224,112,
178946,78457,115437,20845,
6877,23790,47853,37796,
71,196,672,287,
1889,6841,12095,4726,
2110,3198,4140,722,
10092,26945,47217,43384,
7808,29445,50743,42404,
311,1348,1312,535,
3855,10928,19763,8223,
1901,2941,5166,2131,
4987,10949,18627,15833,
10087,31605,43618,33364,
1411,2496,4003,1714,
4996,12955,23410,13277,
1461,2407,4380,1440,
2930,7139,9805,8349,
9541,21410,27069,15543,
3975,4259,5318,2593,
4642,10259,16852,9742,
1388,1753,1896,1064,
1763,2619,4263,3576,
10324,15944,11796,6553,
21364,18088,12059,5532,
5120,6742,7507,3706,
640,516,511,207,
2173,1474,1082,1524
*****
