2010 Education by Immigration status in Florida, race/ethnicity, gender, age 25+, wgtd 2008-10 ACS, SSDAN/U-Mich
5
RaceEth,Gender,AgeEduc,Immentry,EducAll
7,2,5,5,7
NhWhite, Black, Asian, Hispanic, AmIndian, NHOther,NHMulti
Male, Female
25-34,35-44,45-54,55-64,65+
Native,FB<1980,FB80-89,FB90-99,FB00-Current
0-9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
14905,6160,22986,12823,8324,2294,1413,
14069,5106,24910,11985,11411,4600,2441,
5944,6276,20793,23693,11403,2729,2170,
5546,3933,13751,15152,8873,3339,1855,
10573,3648,12060,11581,5247,2135,1039,
6781,3149,12418,7898,8119,2747,2047,
7509,3315,12662,5686,7288,2088,2369,
6973,3225,12030,11887,4655,2184,1496,
5882,2785,9232,11323,7258,2007,1807,
9827,3399,7151,5111,3285,1209,1354,
4980,1926,5935,3024,3031,1046,1703,
3153,1696,5295,1971,3257,1155,1120,
12427,4831,11840,7368,3971,1501,1185,
23093,8728,17886,12352,8558,2762,4655,
9863,1890,5200,2162,1803,541,671,
6391,1266,3057,1372,1732,330,616,
6039,1339,2484,1293,1073,434,544,
4465,8372,32024,52902,26293,7635,2539,
76,41,475,721,408,64,120,
1190,1358,6561,8161,4130,1108,323,
10108,3903,16508,13887,4868,1580,553,
15636,5865,23335,18296,14257,2408,2319,
5167,5843,26793,42975,21896,8896,3040,
1059,613,4320,6950,3111,1483,363,
5999,3290,11032,12832,4385,1800,772,
11668,4319,22471,15920,11120,3113,1921,
8521,4056,21576,15492,15587,3903,3431,
5836,5369,19936,29514,12578,4402,1534,
3199,3092,13919,20799,8252,2882,1155,
8251,3837,15182,13505,6896,1423,1172,
5699,2866,12150,10146,8667,1685,1628,
5980,2907,13730,8496,9510,2022,1628,
6238,3362,15847,15822,6138,2367,928,
7705,3668,16066,14459,6288,2533,1277,
8303,2729,9966,5857,3276,678,511,
6361,2963,7309,3349,4212,457,937,
5484,2078,8082,3744,3589,759,927,
16187,5940,16627,9486,3547,1245,635,
38054,11199,27674,18007,9670,2873,2793,
13306,2503,7829,2702,1725,411,476,
12225,2117,5163,2373,1221,295,397,
11803,1763,4113,2190,2342,209,512,
283,194,555,546,165,68,48,
0,0,0,0,0,0,0,
38,0,0,134,0,0,0,
261,251,114,291,0,0,0,
829,0,476,185,0,0,0,
442,235,833,1114,586,49,28,
0,0,0,0,0,0,0,
173,41,39,0,0,0,0,
293,64,30,93,0,0,0,
445,0,218,438,0,0,0,
354,269,1289,1024,717,80,116,
0,16,0,60,18,0,0,
96,0,33,69,0,0,29,
74,0,0,48,0,0,0,
146,0,21,24,0,0,0,
344,234,601,1003,149,239,76,
208,22,0,40,23,0,0,
21,0,0,113,0,0,0,
0,0,0,21,0,0,0,
0,0,14,0,37,0,0,
411,39,242,843,223,323,19,
0,44,52,10,0,0,0,
0,0,0,0,0,0,0,
83,0,0,0,0,0,0,
0,0,0,0,35,0,0,
118,408,602,956,341,110,0,
0,0,0,0,0,0,0,
0,0,0,98,98,0,0,
146,32,66,54,76,0,0,
294,33,56,48,0,0,0,
234,213,1676,933,189,92,31,
0,0,0,0,0,0,0,
0,0,35,65,47,0,0,
201,54,74,48,81,0,0,
158,0,88,45,38,0,0,
197,305,1394,1272,642,241,31,
0,0,0,73,78,0,0,
80,19,67,64,63,0,0,
26,28,25,16,0,0,0,
139,19,26,33,24,0,0,
334,193,711,1247,490,249,105,
29,0,43,141,0,0,0,
81,0,0,19,0,0,71,
0,25,19,0,0,0,0,
0,0,0,0,0,0,0,
242,159,657,553,99,119,0,
22,0,77,0,0,0,0,
0,32,0,0,0,0,0,
88,0,0,0,0,0,0,
21,0,0,0,0,0,0,
172,126,288,327,238,0,0,
0,0,0,148,0,0,0,
0,29,152,338,18,36,0,
56,40,77,122,67,121,82,
94,204,521,406,138,81,111,
51,159,227,453,195,77,72,
0,0,0,116,131,106,0,
42,136,222,228,20,0,0,
100,30,283,85,61,235,118,
17,53,181,16,38,44,47,
68,28,30,75,86,134,0,
23,58,202,175,74,48,0,
30,12,64,247,88,0,0,
25,0,131,225,48,87,54,
0,46,57,17,127,53,28,
33,75,179,114,42,25,24,
0,0,23,68,47,0,0,
27,91,262,0,62,0,32,
39,21,28,19,0,0,0,
16,27,52,0,86,64,0,
16,0,19,50,90,59,166,
0,0,71,65,0,0,0,
198,0,53,0,0,0,0,
19,0,190,0,0,0,0,
0,0,52,53,47,0,0,
0,20,316,719,212,239,0,
0,0,0,0,0,0,0,
0,25,62,309,188,20,69,
94,87,265,147,330,23,26,
21,0,322,296,434,90,0,
29,20,169,647,247,121,30,
0,0,92,180,0,46,0,
0,0,291,116,153,28,102,
62,62,218,379,114,208,26,
76,0,78,100,98,82,0,
0,26,111,105,137,0,21,
0,0,43,146,26,22,84,
30,90,280,92,33,43,0,
0,22,309,264,26,12,102,
57,42,144,70,143,47,0,
0,116,172,299,107,53,125,
0,78,97,205,29,96,0,
56,94,196,88,13,0,0,
40,48,112,0,82,0,0,
0,53,123,0,0,26,0,
0,40,119,74,119,18,0,
55,40,204,83,0,0,30,
124,0,37,20,0,0,0,
0,0,131,87,0,0,0,
13,0,53,0,0,0,0,
483,862,2718,4809,2336,324,137,
0,30,0,44,37,0,0,
0,27,145,252,311,14,0,
73,0,80,326,112,113,0,
112,39,256,210,304,133,0,
265,909,2814,2759,1327,810,497,
0,0,81,329,50,33,15,
43,28,201,409,178,16,0,
0,66,239,300,183,125,0,
41,24,112,186,105,152,43,
601,670,2199,2782,1215,351,138,
111,0,126,370,235,0,0,
131,0,100,252,234,64,0,
115,78,174,83,73,62,96,
26,57,157,57,61,0,0,
392,172,1099,1813,1202,379,270,
42,18,148,280,336,87,30,
75,50,114,100,214,18,45,
0,34,93,104,44,0,0,
34,26,51,63,40,17,92,
614,368,1163,1199,683,266,177,
248,152,235,246,90,107,20,
43,54,49,121,29,0,13,
55,34,48,26,0,0,0,
0,25,27,52,0,0,0,
174,941,2512,5117,2767,618,262,
0,0,0,130,25,0,0,
0,42,129,194,147,182,0,
110,16,392,413,122,32,33,
46,100,207,471,241,50,18,
350,355,1349,3937,1609,727,106,
0,0,255,27,168,147,21,
45,23,139,359,22,39,21,
127,70,425,432,163,0,15,
57,130,66,233,138,51,0,
151,487,2261,3683,1643,748,224,
9,111,118,533,174,103,16,
34,32,521,339,125,204,21,
110,98,394,310,66,106,46,
72,42,187,188,52,61,17,
368,397,1652,2624,1029,476,252,
53,99,343,437,190,25,0,
104,84,121,246,85,30,16,
174,121,202,19,27,0,0,
65,0,0,21,98,0,0,
583,762,1653,1794,512,215,0,
391,191,578,343,148,44,52,
165,128,167,70,129,0,44,
113,60,0,23,37,13,22,
85,0,127,0,0,0,0
*****
