Marital by Immigration status for Age 15+, wgtd 2005 ACS, Frey/U-MICH-not for commercial purposes
5
RaceLat,Gender,Age,Imm,Marital
7,2,6,3,5
Latino,NLwhite,NLBlack,NLAsian,NLAmIndian,NLOther,NLMixed
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
Native,FB<1990,FB>=1990
 Curmrrd,Widowed,Divorced,Seprated,Nevmrrd
28550,42140,10605,1370,3425,535,640,360,75,40,130,165,70,0,0,
2900,80,65,50,42320,50,0,0,115,3490,2930,0,0,0,20930,
8660,0,770,365,12515,6260,0,490,0,3490,17945,220,1070,365,10935,
11155,280,2935,320,4950,12600,0,1120,765,3245,11550,0,810,310,3930,
8060,185,2470,615,2535,12350,0,1965,650,755,6530,120,1015,300,480,
5840,80,2105,385,1225,6720,125,845,255,735,3175,90,505,100,430,
3940,905,975,285,480,3715,350,435,380,395,1625,85,0,0,175,
2225,0,250,240,38855,420,0,130,145,2175,2920,0,615,35,15335,
11985,35,1950,1665,10455,4520,0,675,495,3450,18740,340,1280,620,6825,
10400,220,4260,1195,6735,11745,235,2365,635,1830,12920,590,1310,505,2160,
9690,470,3720,485,2665,8345,440,2805,1780,975,6810,565,980,395,735,
5105,495,1990,795,945,5250,1745,1700,360,400,2245,810,390,355,955,
2630,3480,1770,330,510,2970,2275,480,305,495,1000,1600,430,0,195,
17025,480,965,1100,300605,50,0,0,0,2100,445,0,75,35,6580,
80830,175,14130,3865,105340,1305,0,180,150,2080,6065,0,250,275,3100,
96820,1440,27760,6195,41160,6945,65,840,575,2125,7210,65,645,775,1345,
92130,2240,36555,5670,24555,9145,135,1215,640,415,3895,0,55,90,370,
61590,3190,21370,2400,6595,6415,265,375,95,390,1220,150,140,0,130,
50945,11370,11900,880,2990,7010,735,645,130,395,1195,65,195,85,0,
26585,615,2660,2895,296320,960,0,0,45,1790,1425,35,0,415,4940,
92215,540,22510,7920,93090,2705,0,630,140,2145,9190,50,665,345,1840,
106555,3345,44645,10725,39400,7605,0,1520,470,2365,8325,135,455,610,1070,
90720,7660,45930,10235,19855,8890,415,2530,640,1570,3035,55,825,30,1030,
54865,13225,32735,2515,7385,7540,575,1535,210,605,1160,445,0,0,170,
33095,46605,15230,1365,3400,5820,3685,1180,65,515,1010,1120,165,50,280
*****
