ASNUSA2K: 2000 Asian alone population by Asian group, age, gender, and immigration status, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Asian,Immig,Gender,Age
7,4,2,9
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
Native,FB<1980,FB80-89,FB90-00
Male,Female
0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75+
60832,118599,70265,34574,28949,24299,8443,8696,7242,
59916,104340,64294,33729,27295,22423,8921,7900,8669,
0,0,3709,20565,37444,57044,37359,26473,16526,
0,0,3180,18308,41107,63521,41977,28511,23488,
0,1660,27747,53266,86008,49349,22874,16512,9728,
0,1798,27543,51789,99895,53595,23749,18037,13073,
3543,31550,60618,88254,73442,33258,14857,15081,7625,
18271,29934,58745,111856,83335,37772,20715,16511,7718,
8427,17766,22402,25966,43126,37312,24287,24108,22823,
9532,18974,24195,22593,41983,39658,22279,26800,35770,
0,0,0,1487,3525,8706,5491,3751,1359,
0,0,659,2318,3870,14726,16910,33436,7806,
0,203,1179,2676,5025,4886,724,368,382,
0,230,1915,5106,8868,5566,1953,1256,716,
2287,8431,11736,22014,15979,8098,1697,90,220,
2764,8463,18191,36291,21225,5668,1346,996,194,
53802,94734,73391,41990,23627,14011,6625,3296,1109,
46387,88227,64789,42145,24397,12054,5645,4646,1719,
0,0,2591,21184,32822,50612,37061,17050,14142,
0,0,1921,19310,37474,77548,54265,23749,17127,
0,2574,27370,32237,48197,34155,15063,7625,6542,
0,2477,23916,38215,86378,52581,19735,14852,13060,
4284,27235,41448,37299,35336,19354,11682,9315,5840,
3313,25649,42543,68047,52073,33360,18873,14371,5004,
25445,45838,33466,11290,4040,3049,1110,637,1075,
22577,41371,33701,12755,3376,2754,1554,834,1212,
0,0,1990,18552,17888,19062,20942,8995,3118,
0,0,5963,25233,24844,45510,28094,12052,5430,
0,7540,22306,21543,32767,18384,10763,4674,3329,
0,9847,27711,27219,51377,25187,13867,7820,5484,
7610,24747,25321,35895,25227,12887,4282,2819,759,
7496,21368,23463,47932,33562,15506,6102,4885,1435,
54851,77053,48263,18170,6577,2750,527,713,1716,
56080,67590,43114,18310,4502,1927,798,250,478,
0,0,1953,14595,15713,42860,32746,8781,1922,
0,0,3123,15228,17882,40840,20548,6334,2724,
0,3645,20333,37624,69183,41902,10873,4668,2212,
0,2642,18051,26831,55059,28798,7880,4819,4645,
9906,31815,58010,149608,59895,23836,11968,9201,2382,
9717,30177,53642,128749,46012,21700,14696,7370,3146,
44304,61189,27424,4666,1891,891,0,0,249,
34142,53630,28855,2911,1356,1324,832,629,304,
0,0,2721,16646,29289,20113,9211,4777,2425,
0,0,1424,16689,21990,24597,10075,4911,3479,
0,1501,22297,40797,43775,21468,9089,2836,2529,
0,977,17440,33001,33608,20773,7773,3436,3142,
3828,25790,41491,51371,23027,22844,18585,9938,1881,
2950,22630,37787,60866,34445,32612,20688,10072,4087,
68642,136436,83230,43814,33174,20374,9887,6283,3395,
62384,124588,80272,41815,34334,20047,10715,6955,5379,
0,0,3698,12677,18093,23719,11681,3762,2290,
0,0,3125,12853,19982,26608,14505,5622,4106,
0,4318,36526,43828,50556,33633,9035,4277,2875,
0,5736,41142,36278,53737,28648,10629,5391,4418,
5518,29628,40639,44455,25156,11987,5280,4126,1222,
4752,26082,36622,48206,28451,11199,6059,3808,1735
*****
