MARASN2K: 2000 Marital status for Asian alone by Asian groups, age 15+, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
Asian,Gender,Age,Marital
7,2,6,5
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Seprated,NevMrrd
9289,106,427,453,152064,
92222,381,4032,1175,98849,
183718,328,8737,1942,31118,
141834,344,8278,1896,11598,
74443,1556,3400,1290,2844,
90095,9627,2840,1737,3584,
13098,284,954,759,138667,
132885,895,5827,1097,74978,
207966,1704,13734,3758,24470,
141589,6060,15648,3388,10626,
71264,12568,5989,2045,3496,
59712,54076,3545,2368,4206,
1655,0,137,0,33525,
19955,221,1801,785,29381,
44815,66,5761,789,16224,
41828,570,5140,1063,10401,
24209,464,3482,535,3509,
40826,6510,2211,204,3350,
5472,30,554,176,38728,
35656,0,2110,824,27718,
56432,427,5970,985,12132,
48118,1610,7504,1033,7353,
29731,3649,4690,742,3676,
53244,38490,9820,361,5059,
10987,81,325,133,133274,
66054,0,4386,1236,61034,
100726,497,10307,2828,25624,
97190,613,9823,2511,7995,
62467,1302,3703,692,2267,
51377,7802,2067,662,3011,
15447,294,1016,494,115918,
104894,893,8566,2986,50378,
155349,2148,14040,5795,22990,
133366,6248,17720,4298,13911,
66163,13330,5636,3646,9743,
42219,44017,2631,1139,4522,
4240,153,239,276,78175,
38823,120,1605,664,46068,
70841,44,1265,726,7046,
48592,429,2353,866,1142,
33978,586,1479,724,330,
21086,2397,1430,441,52,
6307,503,272,450,83306,
66861,316,3233,1483,41246,
94129,1341,10984,1738,4967,
70115,2177,11715,2793,2157,
34906,7532,5055,1042,1082,
15944,20134,1979,857,238,
10665,142,398,368,116986,
131854,0,5251,1387,81505,
133634,438,4362,1642,11292,
100638,1033,4360,1377,3940,
50464,1413,2503,375,1359,
25516,3536,350,740,1453,
28136,309,393,0,89092,
154785,505,3764,1147,28917,
111528,1138,4311,1682,4796,
82405,3747,3871,852,2390,
34425,6008,1856,487,1146,
10860,16802,570,421,1113,
5648,149,0,996,87140,
47787,121,2058,582,62932,
75666,320,3656,1929,16411,
55421,386,3361,998,5150,
31284,1003,1617,905,2076,
18344,3257,1103,1151,780,
9830,303,720,380,74273,
66553,296,4532,1749,40337,
70666,1367,6214,1244,11908,
60908,5024,5649,1660,6065,
24400,6788,3293,1792,3095,
12427,13997,1091,1119,1426,
16391,968,547,1074,145113,
73751,334,4658,3424,62607,
94826,430,8464,2666,20593,
74553,784,6248,2932,5196,
30253,759,2406,598,1867,
21110,3483,1136,1086,1415,
27583,540,1288,1662,130088,
87899,514,7951,3391,39397,
105084,2230,10978,4135,14077,
62965,4895,10644,3425,4573,
27550,6187,5219,867,2085,
14428,18396,2096,997,1497
*****
