MARITAL2K: 2000 Marital status for age 15+, wgtd 1% PUMS, Frey/U-Mich for SSDAN - not for commercial purposes.
4
RaceLat,Gender,Age,Marital
7,2,6,5
NLWhite,Black,Asian,Latino,AmIndian,NLOther,NLMulti
Male,Female
15-24,25-34,35-44,45-54,55-64,65+
CurMrrd,Widowed,Divorced,Seprated,NevMrrd
1265241,14415,94941,56752,10922091,
6821616,19824,912601,209768,4638501,
11054772,61942,2054900,312382,2596069,
10403530,125243,2086406,234658,1221625,
7235872,227743,1141885,108833,457338,
9145671,1630615,739125,93900,512794,
1849127,20548,164629,98785,9741626,
7744605,49881,1188864,325834,3162396,
11453548,174594,2334652,409247,1679578,
10127517,446278,2517155,269151,912874,
6690020,1049459,1548770,112908,392904,
7491412,7638867,1203389,92105,678750,
279939,10149,11890,19081,2409417,
964063,11108,137935,83353,1173913,
1359629,24708,323659,158172,779892,
1039500,38119,337638,132131,332726,
620748,53825,179563,71269,109439,
600735,211021,122371,53198,76710,
241367,7532,17109,27638,2451707,
896987,18314,208764,152884,1401686,
1244621,60343,509913,253618,919826,
931914,149366,508504,189162,394473,
508580,246823,274441,99928,140808,
451521,937357,189903,64966,119357,
58875,1599,2073,3300,746277,
470446,1177,23791,9253,442376,
704226,2123,42552,12522,128308,
560056,4159,39563,11643,45422,
307098,7083,18590,5119,14252,
268354,36612,11137,6021,13645,
105873,2263,5197,3921,670072,
649533,3419,35983,12677,302971,
801154,10355,66231,19337,95340,
599466,29761,72751,17449,47075,
288439,56062,31738,10621,24323,
208834,205912,21732,7262,18061,
545587,5483,19320,29463,2810521,
1889727,10379,140059,92243,1204236,
1795618,15354,248163,101469,457770,
1086412,19504,183297,60668,148457,
546494,24688,85718,29357,49133,
481439,87972,56990,24820,36101,
688173,5152,28503,47460,2132184,
1810145,14758,186543,131950,762414,
1673519,41236,305693,162121,324075,
977319,76741,257771,108789,141486,
491573,116144,137732,51614,65293,
357835,402348,106189,32151,64320,
27309,222,2131,884,180687,
87764,605,16313,3718,76191,
114576,1322,30167,6465,44536,
86225,2166,27533,4992,19661,
52126,2932,11842,2502,5932,
36386,9125,7341,2171,4341,
36718,598,2548,2356,167608,
89594,2125,22317,6136,60884,
115952,4617,42196,9305,34644,
80886,7650,31672,7536,11508,
46507,14299,17634,2842,5754,
26187,37790,9482,2007,3024,
3986,355,106,234,31898,
19013,68,2093,994,14308,
21976,204,3881,1425,6175,
12859,172,4549,143,2675,
8682,0,1781,202,569,
4975,1526,736,471,444,
6211,0,0,736,27614,
22104,145,1743,2617,11353,
19246,384,4340,1747,4913,
12950,908,3319,1392,2439,
6448,1057,2292,244,1242,
5373,5034,1234,172,1329,
34374,905,2334,2402,391469,
153401,582,26244,9824,162887,
219439,1857,45747,11437,75331,
160738,2707,46911,9507,26652,
92020,4968,20892,3975,7894,
79655,17190,11576,1816,6793,
56190,550,3803,4918,352510,
185111,1750,34228,13894,122799,
219033,5997,55582,16263,49007,
149039,11346,59400,13694,19838,
79326,21426,28150,4514,7832,
58253,80000,16200,3278,7992
*****
